var0,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47,var48,var49,var50,var51,var52,var53,var54,var55,var56,var57,var58,var59,var60,var61,var62,var63,var64,var65,var66,var67,var68,var69,var70,var71,var72,var73,var74,var75,var76,var77,var78,var79,var80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6816325,,,,,,,,,,,,,,,,,,,,,,0.99871707,,,,,,,,,,0.5400184,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9739446,,0.8730217,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40886444,,,,,,,,,,,,,,,,,,0.35260087,0.47123194,,,0.9992011,,,,,,,,,,0.9488741,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48521307,,,,,,,,,,,,,,,,,,,,,,0.9740485,,,,,,,,,,0.7485257,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84702,,,,,,,,,,,,,,,,,,,0.98602283,,,,,,,,,,0.98685247,0.978007,,,,,,0.45188522,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8841968,,,,,,,,,,,,,,,,,,,,0.99175984,,,,,,,,,,0.836127,,0.86385196,,,,0.471706,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8032747,,,,,,,,,,,,,,,,,,,,,,0.9990758,,,,,,,,,,0.9969869,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47683978,,,,,,,,,,,,,,,,,,,,,,0.98820835,,,,,,,,,,0.94366586,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7274051,,,,,,,,,,,,,,,0.79199064,,,,,,,,,,,,,,,,0.9677045,0.45671785,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65564305,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9906318,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60917264,,0.71015966,,,,,,,,,,,,,,,,,,,,0.9787703,,,,,,,,,,0.9835434,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7198724,,,,,,,,,,,,,0.97984993,,0.36662912,,0.3034536,,,,,,,,,,,0.31905228,0.51912767,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9975528,,,,,,,,,,0.8076444,,,,0.33566302,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56589407,,,,,,,,,,,,,,,,,,,,,,0.9954613,,,,,,,,,,0.9883376,,,,,,,,,1
